sample,stable_1,stable_2,stable_3,stable_4,stable_5,stable_6,stable_7,stable_8,stable_9,stable_10,stable_11,stable_12,stable_13,stable_14,stable_15,stable_16,stable_17,stable_18,stable_19,stable_20,stable_21,stable_22,stable_23,stable_24,stable_25,stable_26,stable_27,stable_28,stable_29,stable_30,stable_31,stable_32,stable_33,stable_34,stable_35,stable_36,stable_37,stable_38,stable_39,stable_40,stable_41,stable_42,stable_43,stable_44,stable_45,stable_46,stable_47,stable_48,stable_49,stable_50,stable_51,stable_52,stable_53,stable_54,stable_55,stable_56,stable_57,stable_58,stable_59,stable_60,stable_61,stable_62,stable_63,stable_64,stable_65,stable_66,stable_67,stable_68,decliner_1,decliner_2,decliner_3,decliner_4,decliner_5,decliner_6,decliner_7,decliner_8,decliner_9,decliner_10,decliner_11,decliner_12,decliner_13,decliner_14,decliner_15,decliner_16,decliner_17,decliner_18,decliner_19,decliner_20,decliner_21,decliner_22,decliner_23,decliner_24,decliner_25,decliner_26,decliner_27,decliner_28
LPC(22-1:SN1),4.39012423411082,4.66667707106896,4.82895140050015,4.11991222963561,3.6050557220283,3.40595288917724,4.28203199697711,4.10480629803063,3.35597614353951,3.53847608419431,3.25890931913324,4.18164326122664,4.76439392986398,5.21838208576773,3.89856632094849,3.43816774160304,4.52401978226663,4.57428319627562,4.02588812953669,5.00955768430598,3.97034751820014,3.96067850745708,4.12800463511319,3.89090384658666,4.50154742284252,3.72397350869341,3.73346280984743,4.37042935488883,3.45294855395288,4.79915467172651,4.33247164165414,4.6169222421187,4.45998891588669,4.26058274793405,4.64560367740056,4.11640634670118,3.94480223581483,4.28434385438451,6.11803573110776,3.86831142617025,4.1601376558957,4.18655602046945,3.90069294973478,5.3154321850287,4.58979943408799,4.11820189139967,4.4843443999286,3.90008428082743,3.96856081888891,4.11720464246792,4.24656770220915,3.74226496704013,4.85836897817078,3.67250454658383,4.01549756939533,3.35309176379259,4.42611712253986,4.62937993617469,3.57638910877447,4.63618957152566,4.06084289538208,3.43470694827041,4.26585692081078,3.31724327936884,4.21224247770701,4.39687189049046,4.96846405294071,3.64389081404022,4.23878685958712,3.97290398875363,4.39033063218852,4.4599233626769,4.48043963106109,3.94739498318404,4.70670183132593,4.17624297535396,3.86860775466789,4.57194372632846,3.7357062932931,4.00776959414592,3.24285093598201,4.06082560631268,4.52149679750013,5.27552858882227,4.82963141435593,4.29306142829837,4.11484173678102,3.69435649415375,3.66357233541752,4.17769459558823,3.98479894970299,4.54597454501263,3.9743273944683,3.76330533381008,3.86037686328377,4.8545592457185
LPC(22-1:SN2),2.53237930435734,2.59854148159666,3.02500398134132,2.27187980851622,2.25428563854161,1.60629534529749,2.39771535722682,2.53069254564651,2.25788261167141,1.87733199246916,1.89211897695751,2.58914505658004,2.846896431977,3.41124047322055,2.19018498998346,1.67166928484801,2.42964006470645,2.9913830685776,2.21673732323469,3.54074645304168,2.14178916975434,2.01669955228706,2.57925498478429,2.0884978157744,2.55671387975277,2.07482394497877,2.13476965105298,2.61228879699292,1.95124461040196,2.92429945415482,2.43051009105073,2.78526386738954,2.7009545574206,2.31914678497657,2.75661983306504,2.36728159341427,2.21717797156685,2.54487852517743,4.25731994956382,2.12000682023823,2.35226134790419,2.47035464582209,2.0452856916534,3.57441641973809,2.74345680237686,2.16840456176036,2.85955217937195,2.45815361186365,1.96552573054362,2.33803070428845,2.5438546566178,1.88321805657754,2.96499000670623,2.32330376986369,2.29913913377956,1.99711894858813,2.70277942492018,2.68889649177739,1.85702153269201,2.69223524260118,2.3832480868296,1.98632355170733,2.64234576329091,2.10954443697253,2.44832217166794,2.92531397560621,3.207635204522,2.15290377528944,2.61362830081893,2.28454078376855,2.73439314085711,2.50554799490683,2.69001026746037,2.01700612944047,2.45685082215575,2.77473646557288,2.22553098859983,2.6905489547387,2.30845990198524,1.92421772943445,1.96875433131632,2.17807082134353,2.92531397560621,3.18456912193865,3.36809223289218,2.3923971123039,2.50728976714211,1.91370324156275,2.04713002105552,2.39434127160012,2.37557608360554,2.5377930340406,2.40259940067438,1.99056646002032,2.03774416828751,3.02326777397535
LPC(22-4:SN1),7.22781807501407,6.65485796453962,6.62475598449966,7.06013387358579,6.51937992566834,6.57104116825641,6.30523731725224,6.36722252471881,5.39650545869787,5.8255363391547,6.50607347752202,6.24989279538759,5.83407911463666,6.48914470096308,6.08115851217542,6.42431580055665,6.45189190323749,7.30500378111286,6.52122352321568,5.83790793074111,5.92239054380257,6.33430546900489,6.09891848886254,6.66537855778776,5.59005702878512,6.02591027058242,6.88093036107688,6.03848666456353,6.21540292078794,6.41254105612534,6.42154311448353,6.4662926709622,6.89878879711155,5.64957235000179,7.05422986050073,5.99516790528897,6.68931314007127,6.78553747431377,5.65220251705253,5.74138069178052,5.81919810712093,6.67031633490875,6.81112418714774,6.75523477583649,7.63715375333671,6.80580834870147,5.84171151870425,6.14564077604189,5.57177994259952,5.02379204858516,6.24931259489886,6.71113694171879,5.12211358686557,6.9467191650942,6.11187847996457,6.50934272476011,6.13859333043981,6.89884924666306,4.77119892042008,6.11474805602832,5.92756465259102,5.97188608151061,6.1399380656186,6.26580629930719,5.75271380791005,6.19629818806367,5.34892640054156,6.7573966769193,5.44580283475242,7.01972415063125,6.0827387754553,5.932583278777,6.97582504516266,6.51275784218733,5.94327435917295,6.05416255639249,6.29030643542491,7.82285121709486,6.2912922812667,6.0218283661949,6.0852015549738,5.6441879714807,6.79099353292193,6.1747679259059,6.00361797672103,6.75310975508108,5.01896347833832,6.56201035302097,5.22641219278879,5.91177066431669,5.46099150875665,6.23843722348346,6.14161466956315,6.45214237999593,6.79268619530013,5.52886507867925
LPC(22-4:SN2),6.33286365038378,5.59348524506773,5.68364873792269,5.98229315587923,5.65702541426684,5.47536379432629,5.31964322160196,5.48925390528172,4.60454581636871,5.04321762473411,5.91981915309516,5.341277742383,4.99285451867078,5.54451320619276,5.27295257666159,5.54588190362654,4.95129404145022,6.31751753322536,5.69908239161538,4.93813050323872,5.22536748646258,5.48613833830533,5.11908222159228,5.84008299711507,4.47991604070238,4.98026298706522,6.01495554705724,5.06351157083921,5.53015191651483,5.27092506849629,5.69540926963035,5.51357285811791,6.07067054014073,4.84543485112159,6.08938585964296,5.32181267466722,5.87030799712485,5.59309078685592,4.70242483187482,5.02449699069823,4.90732814674569,5.79436647594472,5.95474768682356,5.93181540833194,6.55139912075675,5.66418129924368,5.20407809844905,5.22888793819591,4.78934322926268,4.04615924758065,5.32873236474296,5.86125319416261,4.29314237791136,6.02582170436065,5.0116074505268,5.52209028401366,5.08855717704175,6.1002922888879,4.18589825254622,5.36313602579352,4.99083236222136,5.12426609116348,5.29570833306964,5.40082480064256,4.90379510071255,5.22526721655211,4.32088898033178,5.62261121302831,4.67683719638668,6.10036378323981,5.23585340498584,4.95782640029428,5.88819041425687,5.25463183316689,4.81818590116784,5.15311218967242,5.31388795490709,6.82611624958344,5.61971525230727,5.32747539888585,5.34429235666211,4.81823192593924,5.70505726806103,5.03881805196384,5.1348739483063,5.79793123598367,4.39181582731552,5.73526491706923,4.2658719194337,5.13500944135116,4.51616016587714,5.3210477823898,5.35531233035785,5.63895135458429,5.95062937858197,4.50827651498061
"LPC(22:5/SN1:N3),LPC(22:5/SN2:N6)",8.35908185744395,8.78241839430232,8.82105006164767,8.17854534758959,7.63229003027976,7.89202666297653,7.65001056544946,8.33457274475319,7.48186399839058,8.04170295196028,7.58258610902383,7.94947073399376,7.86791499163534,8.92655989635434,7.78276893155882,7.91131408320414,8.40566907810666,9.01210211326508,7.98853700176823,7.50481898763284,7.55013880178181,7.51143641197723,7.96032056445836,8.17735475230135,7.40984913120591,7.37498728480062,8.17736471951962,7.89531474069639,7.43736924448043,8.27464837844163,8.03681649908192,8.73348314692085,8.44940042425515,7.18129142486841,8.76173737463439,7.76664816204304,7.92483625147684,8.02293922904088,7.6687431890879,7.46111924015602,7.73991559246805,8.05542886703996,7.95374248815629,8.63276987200997,8.96658620019296,8.09027653343512,7.99613448972071,8.51485604857626,7.83466697773649,7.03381941288397,8.57390843931722,8.26370112250882,8.72861781543502,8.46264541029128,7.58382743478423,7.99058620017834,7.8004275502356,8.55913996807862,7.26930437456404,7.94599973749465,8.07104933868924,7.97494797285928,8.12962819196224,7.79536435393552,7.62282788314494,8.11801184399251,7.36331127390677,8.23511432037636,8.10925084855604,8.15991169132003,7.54946125242446,7.84644316928002,8.7219091952188,8.29652623659961,7.97538370940979,8.32591703713464,7.71762159275927,9.04334723924018,7.46133210069394,7.48954293564247,8.00899998423223,7.85989502692444,8.18142560987256,8.45340234338007,7.93403284877286,9.06045816459834,8.03521699475516,7.98218361339613,7.44101031647964,8.08687928039553,7.25422553734395,8.41726603718518,7.86006269442895,7.9805109166873,8.18562871883484,7.63925387298322
LPC(22:5/SN1:N6),6.90610892407288,7.02256755697524,7.1294994049724,6.63270881010708,6.16362351356688,6.8762836408438,6.11091024782958,6.60456953690769,5.40266079006605,5.75619068225954,7.36758948041298,6.48757799410322,6.08047219860461,6.3925870441559,6.31537783879521,6.56718034703674,6.18804281768623,7.37330889799976,7.31476902107304,5.67849732470946,5.95376343694034,6.4955848459532,6.1464047324859,6.44014327828369,5.52114812809591,5.71443511655527,6.88567197237125,5.88006590504233,6.32044315841882,7.21406650561453,6.71663429072526,6.63816364070346,6.78409823333159,5.95049640925446,7.02893375789996,6.40075479570534,7.07222373297767,6.83385149040219,5.786677380533,5.83344673639893,6.17253151895798,7.05673524612904,6.7373487591496,6.94157586181824,7.49451161618977,7.30782921816549,5.88409235192622,6.21658678926717,5.75852704829117,5.50615442610678,6.55185896299819,6.66380001553176,6.12798194391491,6.63865890808452,6.21734317999885,6.82448783928345,5.6435618499627,7.11874385632512,4.9484046126723,6.04871790467039,6.31527638701493,6.36656701445211,6.3436352242829,6.32742869048213,5.82893617264046,5.90881771031158,5.27904035429383,6.42017414419378,5.74391883166022,7.15987133677839,6.09245905884472,5.64149400789576,6.59903505966524,6.85097439978338,5.88480302892694,6.04075218615949,6.45959063421327,7.92989749194555,6.09093386015094,6.16801617577522,6.43720110101853,5.99333696894168,6.99100022745226,6.06357412616056,6.23039901839911,6.80852663583404,5.36102085538276,6.41785926432059,5.72002120911565,6.38369219797391,5.87079376507401,6.41289327907659,6.3868936990725,6.84515129147015,7.33214399100459,5.37904906575885
LPC(22:5/SN2:N3),7.51344337084879,7.68239070172425,7.77276982950692,7.23903518349433,6.75012409672543,6.574466375365,6.65831146805221,7.459808637392,6.59808824132505,7.51077998902419,6.31179008558634,6.88035493098671,6.95975856539113,7.97614020234784,6.87371478469959,6.87100577493316,6.97880196510681,8.00550104472124,6.89417507532758,6.46457842246314,6.54972461054669,6.43508514769044,6.95811186487309,7.18013791314972,6.43930065585225,6.29423659168175,7.28847853568211,7.01434413347351,6.54009858366137,7.24292637099693,6.95067836419242,7.84471831635334,7.37335240416945,6.3494820530298,7.92650356186886,7.00111540315396,6.75092802065037,6.75375160067621,7.05006629830629,6.68298054278571,6.85325964509029,6.93052446521343,6.86093797494944,7.86670401865996,7.85552881813694,6.83448369128736,7.0756181977307,7.72943720883513,7.15062059991066,5.93425700072363,7.56814614129294,7.26728296720541,7.75027821685099,7.43790184687465,6.36300983396924,6.68487482880499,7.0193349678394,7.83137692223112,6.60505720404951,7.20837093838731,7.14008331205855,7.03755793542403,7.30802041876821,6.91373913857753,6.96815988912861,7.32227069427751,6.39549300682144,7.12321093746157,7.20563687770097,7.0838834912603,6.57667933837102,6.90149445504758,7.84113658617246,7.13998102735618,6.98348389363106,7.26004448014764,6.47860946840451,7.8812608235326,6.58118400778751,6.54421797818246,6.95282276952724,6.96499924500969,6.97730282323946,7.52597488315159,7.03622857131774,8.17664690373764,7.27248049272083,7.07801200338479,6.58460328505155,7.31157577152755,6.46677066464546,7.59563792228301,6.86598065714994,6.86967403357451,7.06574462512514,6.86439665131893
LPC(22-6:SN1),10.168007648567,10.718310247195,10.6950890620958,9.29457939716726,9.60486638129677,9.80658023160627,9.26220057647428,10.2111947584187,9.45141925710097,9.92591933252153,9.57439484745535,10.1003075343043,10.2031277273795,11.1481905570126,9.63641436323214,9.68765387191076,10.5747921798626,10.4896071567487,10.2938279677509,9.59325665174452,9.07508064855979,9.44353827764673,10.58661464243,9.33060993673755,10.0743421948504,9.818729155535,9.98497378237942,10.0606148791276,9.32026578406813,10.6596837800159,9.38858348586044,10.9864678227362,9.6019490254331,9.72869603489595,11.0707783951809,9.99725006116028,10.1285486013204,9.5217260566801,10.6317045526516,9.75975339226747,9.94880377061093,9.44113692356849,9.49316495144682,10.7240959908556,10.2916887330152,10.1888237126705,9.61823314855481,10.5813324148738,9.80053918106835,10.2204025134949,10.6896136673222,9.8845032929158,11.4377520723236,9.56642513230413,9.73765465459905,8.76536235522239,10.0674074696384,9.87564953404724,9.94481892338499,10.2747625100872,10.3144133055213,9.60968110015716,10.7413152932002,9.67154106671188,10.0516439953991,9.94590466433059,9.41410381296875,9.79280981202754,10.5831203861791,9.23799862561939,9.86160804361678,10.2179819242777,10.4133952175081,10.1874634261532,10.4853161250614,10.2712295632156,9.62082830549859,10.5002344059424,9.48007523873995,8.90054382545024,9.97639227853612,10.1462759068577,9.54943044716445,11.1353245161219,10.3019991071725,10.5528227718903,10.4397581761357,9.91856512898944,9.72776733021839,10.2942761149669,9.999774561287,10.3118277688775,9.86309907005148,9.73885226170825,9.38717079952155,10.3806342213938
LPC(22-6:SN2),8.92778981168494,9.22603400779673,9.41744960080272,7.9956258417988,8.61939466865057,8.37283024352256,8.15099116144757,8.97901069145054,8.40342538065655,9.03787361671035,8.73478073724259,8.87116599427264,9.01214123189418,9.88636571394621,8.4938194314393,8.4647254378888,8.90026606301964,9.0859052691572,9.01994927274154,8.41638376201867,7.95701495472619,8.42313272222733,9.26160603200216,8.06315775866032,8.63857709931927,8.20692155507752,8.79503959962437,8.7337746134743,8.10993509900778,9.21387458566687,8.07934077380733,9.68484503059902,8.45668296304239,8.60445686087386,9.73204359114485,8.86670401865996,8.76635994934369,8.13551947907144,9.35775651853444,8.71051717705826,8.74116358404773,8.1609857160825,8.26787751751875,9.61874337839282,8.82631331518821,8.87491067076617,8.5164210055277,9.34391409809408,8.68294895027013,9.0065785455993,9.29768895414875,8.60006528386671,10.1717147362623,8.34145655529472,8.42195960964076,7.62640263079413,8.90785807905798,8.80529890540318,8.91175448871483,9.0141823109708,8.97682185236068,8.53679115974748,9.47918002653807,8.52530154976887,8.96504254876861,8.70328761531168,8.08120645666728,8.38152997335973,9.25894991634974,7.99062590657469,8.63732404932121,8.88712311219198,9.05759648386663,8.82284165937342,9.13384604503457,9.12847127265998,8.33075557399971,9.19756073608054,8.24431150228199,7.69701619464367,8.87425597676861,8.93307981425706,8.30262521640613,9.84356308036445,9.21335457296354,9.35821601931903,9.45812563460361,8.79406814794232,8.37598208964989,9.12459437618306,8.79753183957196,9.14183381307529,8.82179629973228,8.47845010853147,8.05632340364753,9.00368374574799
LPC(24-0:SN1),5.85289025509699,6.0773562392114,5.59834138255363,5.28023627090949,5.35444158152943,4.66646120675724,5.88239605839145,5.32016332126207,4.83317346323834,5.64674733717444,4.83921386802708,5.52184224262766,5.38286434766415,5.18629453419639,5.45385006531597,4.66627940122911,6.06690720345442,5.63329460705759,5.72923461377732,6.6474123746064,5.63544968698003,5.45953981670799,5.09498340851226,5.56423181845005,5.16364363856972,6.39656882038251,5.67971091224746,6.01852735663286,4.72770267283724,5.03719769987529,5.38270874864992,5.58187845164784,5.30784014459687,5.02930710703088,5.20061812864686,5.3264294871223,5.28182434132729,5.61708685950812,5.93719371117032,5.53245723184953,4.90022922528969,5.29847870058062,5.50903704235289,5.9870274759788,6.10272740929341,5.88767391916016,6.32660565594711,4.78044134262235,5.59093729599797,4.38061863817738,5.57968099695735,5.28425500526135,5.93016251011845,5.59943384741848,6.2865097094757,4.81743395531753,6.15720948116138,5.43491840531592,5.32547276652721,5.4746534370562,5.68535431999461,5.18281145793427,5.82544220889605,5.1501697062957,5.77471064085365,5.96523711095189,4.89523959900407,5.2118844019403,5.21324617287766,5.13070851955299,5.81127578080981,5.04275813774732,5.55920116469963,4.69197516913534,5.12534940668491,5.83286723458952,5.86046874163902,5.85473625999719,4.79406749792289,5.1191403377011,4.90769827870125,5.04226785693859,5.74415571236992,5.20667838455842,5.30122180533309,5.74523733212975,5.31230576182161,4.91236244681858,4.80308234629581,5.58436425938311,5.57655237010669,6.10018293773147,5.18929876872219,5.030993705579,5.1179069437174,5.46235339432903
